Date,Open,High,Low,Close,Adj Close,Volume
2018-12-01,14.100000,14.750000,11.810000,13.220000,13.220000,161398900
2019-01-01,12.780000,16.209999,12.060000,14.950000,14.950000,125003500
2019-02-01,15.010000,18.860001,13.560000,18.020000,18.020000,126203800
2019-03-01,18.190001,19.969999,16.330000,18.100000,18.100000,126620500
2019-04-01,18.750000,19.420000,16.780001,17.200001,17.200001,71439700
2019-05-01,17.309999,17.650000,13.065000,13.240000,13.240000,133366400
2019-06-01,13.240000,15.390000,12.600000,14.990000,14.990000,179680200
2019-07-01,15.410000,16.740000,13.920000,14.270000,14.270000,98855700
2019-08-01,14.230000,15.350000,12.285000,13.300000,13.300000,104689900
2019-09-01,12.980000,14.490000,12.400000,12.770000,12.770000,102374600
2019-10-01,12.760000,14.490000,12.560000,13.840000,13.840000,85030300
2019-11-01,14.010000,14.715000,11.840000,12.430000,12.430000,147559400
2019-12-01,12.440000,12.600000,11.270000,11.740000,11.740000,134017300
2020-01-01,12.030000,14.210000,11.900000,12.690000,12.690000,186122900
2020-02-01,12.690000,14.300000,11.905000,12.130000,12.130000,138465700
2020-03-01,12.370000,12.760000,9.220000,10.060000,10.060000,203205900
2020-04-01,9.830000,11.545000,9.740000,11.410000,11.410000,139345900
2020-05-01,11.110000,13.000000,10.300000,12.920000,12.920000,228501400
2020-06-01,12.770000,14.085000,12.000000,13.460000,13.460000,280972200
2020-07-01,13.630000,17.969999,13.320000,16.139999,16.139999,246936000
2020-08-01,16.480000,16.590000,13.820000,15.250000,15.250000,123204500
