CplxID,Borough,CplxName,Routes,CplxLat,CplxLong,Hub,Time,PreEntries,NadirEntries,LatestEntries,Diff1,DiffPct1,Diff2,DiffPct2
298.0,M,207 St,1,40.864621,-73.918822,0.0,08:00:00-12:00:00,1490.0975609756097,239.5,414.0,-1250.5975609756097,-0.8392722689625822,174.5,0.7286012526096033
297.0,M,215 St,1,40.869444,-73.915279,0.0,08:00:00-12:00:00,460.5853658536585,46.25,95.75,-414.3353658536585,-0.8995843041728447,49.5,1.0702702702702702
296.0,M,Marble Hill - 225 St,1,40.874561,-73.909831,0.0,08:00:00-12:00:00,1382.9512195121952,180.75,420.0,-1202.2012195121952,-0.8693012468915892,239.25,1.3236514522821576
295.0,Bx,231 St,1,40.878856,-73.904834,0.0,08:00:00-12:00:00,2822.756097560976,242.25,644.0,-2580.506097560976,-0.9141796203330079,401.75,1.6584107327141382
414.0,M,Bowling Green,4 5,40.704817,-74.014065,1.0,08:00:00-12:00:00,4899.170731707317,260.75,785.75,-4638.420731707317,-0.9467767068592993,525.0,2.0134228187919465
413.0,M,Wall St,4 5,40.707557,-74.011862,1.0,06:00:00-10:00:00,2657.512195121951,98.5,296.75,-2559.012195121951,-0.9629352594577727,198.25,2.012690355329949
622.0,M,Brooklyn Bridge-City Hall/Chambers St,J Z 4 5 6,40.713159,-74.003917,1.0,08:00:00-12:00:00,5477.341463414634,259.25,550.5,-5218.091463414634,-0.9526686437696764,291.25,1.1234329797492768
610.0,M,Grand Central - 42 St,4 5 6 7 S,40.751849,-73.976945,1.0,05:00:00-09:00:00|08:00:00-12:00:00,27978.0,732.25,2434.5,-27245.75,-0.9738276502966616,1702.25,2.3246841925571866
613.0,M,Lexington Av / 59 St,N W R 4 5 6,40.762796,-73.967686,1.0,08:00:00-12:00:00,7974.170731707317,413.0,1294.0,-7561.170731707317,-0.9482077806087337,881.0,2.1331719128329296
378.0,Bx,Woodlawn,4,40.886037,-73.878751,0.0,08:00:00-12:00:00,1517.8048780487804,214.0,378.5,-1303.8048780487804,-0.8590069098505544,164.5,0.7686915887850467
434.0,Bx,3 Av - 149 St,2 5,40.816109,-73.917757,0.0,08:00:00-12:00:00,5082.585365853659,731.0,1532.75,-4351.585365853659,-0.8561755588187306,801.75,1.0967852257181943
447.0,Q,Flushing - Main St,7,40.7596,-73.83003,0.0,08:00:00-12:00:00,17665.39024390244,858.0,4293.25,-16807.39024390244,-0.9514304530976238,3435.25,4.003787878787879
337.0,Bk,Nevins St,2 3 4 5,40.688246,-73.980492,0.0,08:00:00-12:00:00,2617.756097560976,188.5,388.75,-2429.256097560976,-0.9279917635658915,200.25,1.0623342175066313
617.0,Bk,Atlantic Av - Barclays Ctr,D N R B Q 2 3 4 5,40.684063,-73.977417,0.0,08:00:00-12:00:00,12707.170731707318,676.0,1785.25,-12031.170731707318,-0.9468016906144793,1109.25,1.6409023668639053
339.0,Bk,Bergen St,2 3,40.680829,-73.975098,0.0,08:00:00-12:00:00,1764.8048780487804,44.25,132.0,-1720.5548780487804,-0.9749264065674365,87.75,1.9830508474576272
340.0,Bk,Grand Army Plaza,2 3,40.675235,-73.971046,0.0,08:00:00-12:00:00,3097.3,81.75,237.75,-3015.55,-0.9736060439737836,156.0,1.908256880733945
341.0,Bk,Eastern Pkwy - Brooklyn Museum,2 3,40.671987,-73.964375,0.0,08:00:00-12:00:00,961.560975609756,26.5,145.25,-935.060975609756,-0.9724406452922078,118.75,4.481132075471698
343.0,Bk,Nostrand Av,3,40.669847,-73.950466,0.0,08:00:00-12:00:00,1596.4,103.25,202.25,-1493.15,-0.935323227261338,99.0,0.9588377723970944
345.0,Bk,Crown Hts - Utica Av,3 4,40.668897,-73.932942,0.0,08:00:00-12:00:00,8687.853658536585,1052.25,2308.0,-7635.6036585365855,-0.8788826283962471,1255.75,1.1933951057258256
346.0,Bk,Sutter Av - Rutland Rd,3,40.664717,-73.92261,0.0,08:00:00-12:00:00,1907.7878787878788,269.5,537.75,-1638.2878787878788,-0.8587369156726019,268.25,0.9953617810760668
347.0,Bk,Saratoga Av,3,40.661453,-73.916327,0.0,08:00:00-12:00:00,1498.658536585366,244.25,475.0,-1254.408536585366,-0.8370209130116364,230.75,0.9447287615148413
348.0,Bk,Rockaway Av,3,40.662549,-73.908946,0.0,08:00:00-12:00:00,1358.5365853658536,243.75,436.75,-1114.7865853658536,-0.8205789946140036,193.0,0.7917948717948718
349.0,Bk,Junius St,3,40.663515,-73.902447,0.0,08:00:00-12:00:00,584.5365853658536,107.5,185.0,-477.0365853658536,-0.8160936326462488,77.5,0.7209302325581395
350.0,Bk,Pennsylvania Av,3,40.664635,-73.894895,0.0,08:00:00-12:00:00,1272.3902439024391,197.5,380.25,-1074.8902439024391,-0.8447803251035118,182.75,0.9253164556962026
351.0,Bk,Van Siclen Av,3,40.665449,-73.889395,0.0,08:00:00-12:00:00,857.4634146341464,137.5,251.75,-719.9634146341464,-0.8396433041301627,114.25,0.8309090909090909
352.0,Bk,New Lots Av,3,40.666235,-73.884079,0.0,08:00:00-12:00:00,1441.9024390243903,259.0,417.0,-1182.9024390243903,-0.8203761967590243,158.0,0.61003861003861
501.0,S,St George,SIR,40.643748,-74.073643,0.0,08:00:00-12:00:00,2634.682926829268,124.0,410.5,-2510.682926829268,-0.9529355131362129,286.5,2.310483870967742
471.0,M,34 St - 11 Av,7,40.755882,-74.00191,1.0,08:00:00-12:00:00,2136.7073170731705,74.25,243.5,-2062.4573170731705,-0.9652502711032476,169.25,2.2794612794612794
8.0,M,5 Av/59 St,N W R,40.764811,-73.973347,1.0,06:00:00-10:00:00,740.5853658536586,45.5,140.25,-695.0853658536586,-0.9385621130285865,94.75,2.0824175824175826
9.0,M,57 St - 7 Av,N Q R W,40.764664,-73.980658,1.0,08:00:00-12:00:00,4908.048780487805,196.0,726.25,-4712.048780487805,-0.9600655965810266,530.25,2.705357142857143
10.0,M,49 St,N R W,40.759901,-73.984139,1.0,08:00:00-12:00:00,3115.951219512195,76.5,289.0,-3039.451219512195,-0.9754489096231821,212.5,2.7777777777777777
13.0,M,28 St,R W,40.745494,-73.988691,1.0,08:00:00-12:00:00,2033.0487804878048,42.75,219.75,-1990.2987804878048,-0.9789724671585388,177.0,4.140350877192983
14.0,M,23 St,R W,40.741303,-73.989344,1.0,08:00:00-12:00:00,3395.1463414634145,102.5,339.25,-3292.6463414634145,-0.9698098433200911,236.75,2.3097560975609754
